Date,Open,High,Low,Close,Adj Close,Volume
2016-01-12,193.820007,194.550003,191.139999,193.660004,178.067764,172330500
2016-01-13,194.449997,194.860001,188.380005,188.830002,173.626617,221168900
2016-01-14,189.550003,193.259995,187.660004,191.929993,176.477020,240795600
2016-01-15,186.770004,188.759995,185.520004,187.809998,172.688751,324846400
2016-01-19,189.960007,190.110001,186.199997,188.059998,172.918640,195244400
2016-01-20,185.029999,187.500000,181.020004,185.649994,170.702667,286547800
2016-01-21,186.210007,188.869995,184.639999,186.690002,171.658951,195772900
2016-01-22,189.779999,190.759995,188.880005,190.520004,175.180557,168319600
2016-01-25,189.919998,190.149994,187.410004,187.639999,172.532410,130371700
2016-01-26,188.419998,190.529999,188.020004,190.199997,174.886322,141036800
2016-01-27,189.580002,191.559998,187.059998,188.130005,172.982971,185681700
2016-01-28,189.960007,190.199997,187.160004,189.110001,173.884079,143798800
2016-01-29,190.020004,193.880005,189.880005,193.720001,178.122925,210529300
2016-02-01,192.529999,194.580002,191.839996,193.649994,178.058563,136061600
2016-02-02,191.960007,191.970001,189.539993,190.160004,174.849518,182564900
2016-02-03,191.410004,191.779999,187.100006,191.300003,175.897781,205054900
2016-02-04,190.710007,192.750000,189.960007,191.600006,176.173599,139531800
2016-02-05,190.990005,191.669998,187.199997,187.949997,172.817490,180788300
2016-02-08,185.770004,186.119995,182.800003,185.419998,170.491180,191526700
2016-02-09,183.360001,186.940002,183.199997,185.429993,170.500397,184513100
2016-02-10,186.410004,188.339996,185.119995,185.270004,170.353256,148214100
2016-02-11,182.339996,184.100006,181.089996,182.860001,168.137314,219058900
2016-02-12,184.960007,186.649994,183.960007,186.630005,171.603775,127632400
2016-02-16,188.770004,189.809998,187.630005,189.779999,174.500122,120250700
2016-02-17,191.160004,193.320007,191.009995,192.880005,177.350540,136009500
2016-02-18,193.199997,193.270004,191.720001,192.089996,176.624146,102343000
2016-02-19,191.169998,192.179993,190.449997,192.000000,176.541397,114793000
2016-02-22,193.869995,194.949997,193.789993,194.779999,179.097595,103640300
2016-02-23,194.000000,194.320007,192.179993,192.320007,176.835663,111455300
2016-02-24,190.630005,193.529999,189.320007,193.199997,177.644791,150812200
2016-02-25,193.729996,195.550003,192.830002,195.539993,179.796402,110728300
2016-02-26,196.570007,196.679993,194.899994,195.089996,179.382599,129833700
2016-02-29,195.110001,196.229996,193.330002,193.559998,177.975800,125918100
2016-03-01,195.009995,198.210007,194.449997,198.110001,182.159454,141799700
2016-03-02,197.740005,199.059998,197.250000,199.000000,182.977829,102415000
2016-03-03,198.789993,199.800003,198.110001,199.779999,183.695023,95172200
