Date,Open,High,Low,Close,Adj Close,Volume
2015-08-03,64.230003,64.580002,63.810001,64.150002,57.105339,7659900
2015-08-04,63.700001,63.700001,60.320000,62.340000,55.494095,26677500
2015-08-05,62.770000,63.209999,62.599998,62.959999,56.046017,12882800
2015-08-06,62.980000,63.619999,62.869999,63.020000,56.099430,10480500
2015-08-07,63.070000,63.470001,62.970001,63.389999,56.428791,5793700
2015-08-10,63.939999,64.709999,63.939999,63.990002,56.962910,8456300
2015-08-11,63.009998,63.529999,62.990002,63.310001,56.357582,7045300
2015-08-12,62.599998,63.529999,61.520000,63.259998,56.313068,9679200
2015-08-13,63.180000,63.820000,63.150002,63.240002,56.295273,4305800
2015-08-14,63.020000,64.269997,62.930000,64.250000,57.194359,5744400
2015-08-17,63.820000,64.500000,63.560001,64.300003,57.238865,4965800
2015-08-18,64.169998,64.349998,63.540001,63.709999,56.713661,6745700
2015-08-19,63.299999,63.410000,62.810001,62.919998,56.010410,8928000
2015-08-20,62.330002,62.689999,61.689999,61.709999,54.933285,8398700
2015-08-21,61.000000,61.380001,59.700001,59.730000,53.170712,13055000
2015-08-24,54.220001,58.889999,54.000000,56.939999,50.687096,20043200
2015-08-25,58.770000,59.090000,56.560001,56.639999,50.420052,12353400
2015-08-26,59.150002,59.610001,57.310001,59.160000,52.663307,13602500
2015-08-27,59.830002,61.160000,59.380001,61.110001,54.399174,9805200
2015-08-28,60.470001,61.060001,60.299999,61.000000,54.301258,6323800
2015-08-31,60.740002,60.860001,60.230000,60.340000,53.713734,9390900
2015-09-01,58.970001,59.410000,58.310001,58.730000,52.280529,9687500
2015-09-02,59.459999,59.509998,58.340000,59.099998,52.609901,9612900
2015-09-03,59.380001,60.090000,59.270000,59.450001,52.921463,8618000
2015-09-04,58.549999,58.830002,57.900002,58.080002,51.701920,7993400
2015-09-08,58.959999,59.310001,58.400002,59.240002,52.734528,7092400
2015-09-09,59.799999,59.880001,58.410000,58.529999,52.102501,6253400
2015-09-10,58.020000,58.540001,57.880001,58.220001,52.075672,6943000
2015-09-11,57.689999,58.340000,57.650002,58.330002,52.174057,7287300
2015-09-14,58.259998,58.270000,57.599998,58.000000,51.878883,7156100
2015-09-15,58.230000,58.860001,57.980000,58.650002,52.460281,5617500
2015-09-16,58.660000,59.110001,58.520000,58.900002,52.683907,6100700
2015-09-17,59.040001,59.480000,58.330002,58.430000,52.263500,6416200
2015-09-18,57.500000,58.070000,57.110001,57.779999,51.682098,18147200
2015-09-21,58.139999,58.540001,57.840000,58.029999,51.905712,5228000
2015-09-22,57.250000,57.520000,56.900002,57.279999,51.234867,7859200
2015-09-23,57.169998,57.540001,56.840000,57.099998,51.073864,5068200
2015-09-24,56.450001,57.080002,56.299999,56.900002,50.894974,5835900
2015-09-25,57.869999,57.990002,57.189999,57.540001,51.467434,5296100
2015-09-28,57.220001,57.279999,55.450001,55.660000,49.785835,9804500
2015-09-29,55.810001,56.099998,55.299999,55.720001,49.839497,5711000
2015-09-30,56.540001,56.830002,56.049999,56.820000,50.823414,7412400
2015-10-01,57.189999,57.220001,56.060001,56.919998,50.912861,6889700
2015-10-02,55.340000,57.200001,55.240002,57.189999,51.154366,7886800
2015-10-05,57.529999,58.340000,57.529999,58.279999,52.129326,6616300
2015-10-06,58.000000,58.369999,57.590000,57.680000,51.592651,6542500
